id,Account,Value,Feature
12463431,Credit Card,0.0200812820111165,Consistency
12943181,Credit Card,0.0218813282069549,Consistency
13218704,Credit Card,0.020915441428108,Consistency
13383777,Credit Card,0.020608665111242,Consistency
13411709,Credit Card,0.0206088242774551,Consistency
13429583,Credit Card,0.0215061801998491,Consistency
13437192,Credit Card,0.0208830120156422,Consistency
13446655,Credit Card,0.021002103131321,Consistency
13459465,Credit Card,0.0202405742378095,Consistency
13475997,Credit Card,0.021068256238316,Consistency
13485080,Credit Card,0.0209568353959509,Consistency
13534268,Credit Card,0.020441611364927,Consistency
13561478,Credit Card,0.0198564336617463,Consistency
13638730,Credit Card,0.0199170794866162,Consistency
13708437,Credit Card,0.0207708891194862,Consistency
13720967,Credit Card,0.0198944279755679,Consistency
13746906,Credit Card,0.0218734291412159,Consistency
13763817,Credit Card,0.02032283004862,Consistency
13865382,Credit Card,0.0204196708648515,Consistency
13917361,Credit Card,0.0201793664785977,Consistency
13923385,Credit Card,0.020784814833872,Consistency
13941036,Credit Card,0.0206593544193223,Consistency
13965474,Credit Card,0.0209929025207264,Consistency
14076856,Credit Card,0.0203335072102435,Consistency
14079801,Credit Card,0.0204262715270117,Consistency
14116173,Credit Card,0.0203163350666735,Consistency
14176098,Credit Card,0.0206837667177947,Consistency
14180250,Credit Card,0.0206917840131567,Consistency
14211067,Credit Card,0.0211853587172176,Consistency
14229954,Credit Card,0.0231655469716946,Consistency
14230204,Credit Card,0.0207827992910371,Consistency
14235433,Credit Card,0.0210864126651361,Consistency
14321374,Credit Card,0.0203063418550504,Consistency
14326093,Credit Card,0.019977988061364,Consistency
14339423,Credit Card,0.0208998725340979,Consistency
14382807,Credit Card,0.0209929025207264,Consistency
14409255,Credit Card,0.0204275392736025,Consistency
14417383,Credit Card,0.021222186906338,Consistency
14436998,Credit Card,0.0215894543128888,Consistency
14467738,Credit Card,0.0205316283748892,Consistency
14467805,Credit Card,0.0192105465897359,Consistency
14474708,Credit Card,0.0206690351870783,Consistency
14488745,Credit Card,0.0211618563284318,Consistency
14514709,Credit Card,0.0201022557946278,Consistency
14519321,Credit Card,0.0210000034637462,Consistency
14519704,Credit Card,0.019499306084207,Consistency
14523809,Credit Card,0.0211079253203731,Consistency
14561644,Credit Card,0.0204823245776478,Consistency
14578270,Credit Card,0.0194632506735207,Consistency
14580574,Credit Card,0.0206483176664841,Consistency
14580642,Credit Card,0.0210716727131696,Consistency
14616524,Credit Card,0.0204333502843569,Consistency
14636519,Credit Card,0.020209794053604,Consistency
14650914,Credit Card,0.0204637899810483,Consistency
14659719,Credit Card,0.0211022511609989,Consistency
14660258,Credit Card,0.0202304424244645,Consistency
14669286,Credit Card,0.0209028362150625,Consistency
14672096,Credit Card,0.020200561380371,Consistency
14674695,Credit Card,0.0206060807195203,Consistency
14689542,Credit Card,0.0209550935106905,Consistency
14699277,Credit Card,0.0219404985026576,Consistency
14699543,Credit Card,0.0207213040658875,Consistency
14701771,Credit Card,0.020885025995927,Consistency
14703003,Credit Card,0.0200097374753876,Consistency
14707183,Credit Card,0.0204711715758068,Consistency
14728624,Credit Card,0.020624630769077,Consistency
14735490,Credit Card,0.0195878949753723,Consistency
14743301,Credit Card,0.020892274018145,Consistency
14759766,Credit Card,0.0211687161744417,Consistency
14774565,Credit Card,0.020189090571778,Consistency
14785840,Credit Card,0.0199951767191888,Consistency
14799539,Credit Card,0.0210912296280194,Consistency
14814984,Credit Card,0.0205471499688265,Consistency
14848079,Credit Card,0.0200511446518798,Consistency
14859681,Credit Card,0.0206641131071502,Consistency
14893289,Credit Card,0.0199547354277023,Consistency
14913736,Credit Card,0.0209214421815219,Consistency
14924708,Credit Card,0.0210653700242233,Consistency
14941375,Credit Card,0.0204970936976318,Consistency
14955626,Credit Card,0.0207168129917636,Consistency
14956313,Credit Card,0.0214049557669567,Consistency
14963561,Credit Card,0.0202000928160445,Consistency
14970929,Credit Card,0.0199476989793982,Consistency
14975659,Credit Card,0.0211085768647833,Consistency
15003525,Credit Card,0.0209393371711705,Consistency
15010157,Credit Card,0.0207443265536188,Consistency
15015129,Credit Card,0.0200523169732494,Consistency
15024311,Credit Card,0.0210011935685447,Consistency
15052186,Credit Card,0.0208911768167327,Consistency
15055614,Credit Card,0.021002737406434,Consistency
15087671,Credit Card,0.0209929025207264,Consistency
15138692,Credit Card,0.0200722502240486,Consistency
15142487,Credit Card,0.0202876906871905,Consistency
15145508,Credit Card,0.0206183617813137,Consistency
15153903,Credit Card,0.0195967883915151,Consistency
15164035,Credit Card,0.0206593279670818,Consistency
15170617,Credit Card,0.0205646225554148,Consistency
15219298,Credit Card,0.0203938027274295,Consistency
15233060,Credit Card,0.0212752154224362,Consistency
15240733,Credit Card,0.0196785940383638,Consistency
15243759,Credit Card,0.0219290789658114,Consistency
15266186,Credit Card,0.0216821756826083,Consistency
15270961,Credit Card,0.0206391358343917,Consistency
15292723,Credit Card,0.0209454306057592,Consistency
15296921,Credit Card,0.0215953016430361,Consistency
15318415,Credit Card,0.0204515652120135,Consistency
15347219,Credit Card,0.0203341667780939,Consistency
15392585,Credit Card,0.0201875263682008,Consistency
15428690,Credit Card,0.0200629935967185,Consistency
15434024,Credit Card,0.0215584894809571,Consistency
15435733,Credit Card,0.0200385503605459,Consistency
15473720,Credit Card,0.0199350500702654,Consistency
15477567,Credit Card,0.0205135615588472,Consistency
15483153,Credit Card,0.0201484897527458,Consistency
15492237,Credit Card,0.0245324140466024,Consistency
15517964,Credit Card,0.0216669188039401,Consistency
15556612,Credit Card,0.0203318331376287,Consistency
15557776,Credit Card,0.0209929025207264,Consistency
15590290,Credit Card,0.0203274810220801,Consistency
15592201,Credit Card,0.0206468728721534,Consistency
15628165,Credit Card,0.0209807419961136,Consistency
15648578,Credit Card,0.0205294911862539,Consistency
15652929,Credit Card,0.0209929025207264,Consistency
15694345,Credit Card,0.0204343824444373,Consistency
15717552,Credit Card,0.0207643472748299,Consistency
15741811,Credit Card,0.0200176308902798,Consistency
15749223,Credit Card,0.0202187393967861,Consistency
15766480,Credit Card,0.0205634158833753,Consistency
15776039,Credit Card,0.0200492173122908,Consistency
15816608,Credit Card,0.0199902404454521,Consistency
15822501,Credit Card,0.0192773712955941,Consistency
15823855,Credit Card,0.0206527350928284,Consistency
15861565,Credit Card,0.021607324453705,Consistency
15875519,Credit Card,0.0202476815656062,Consistency
15892474,Credit Card,0.0213560526874464,Consistency
15901581,Credit Card,0.0200415252404463,Consistency
15905596,Credit Card,0.0207136960868055,Consistency
15924563,Credit Card,0.0205876386731778,Consistency
15947464,Credit Card,0.0197280395988699,Consistency
15953785,Credit Card,0.0196455503618468,Consistency
15954208,Credit Card,0.0195436405379203,Consistency
16009201,Credit Card,0.0201906717039304,Consistency
16015536,Credit Card,0.0212240321245435,Consistency
16023551,Credit Card,0.0210829852234675,Consistency
16023581,Credit Card,0.0207014042320436,Consistency
16032060,Credit Card,0.0206578148111875,Consistency
16032465,Credit Card,0.0206897906144476,Consistency
16055410,Credit Card,0.0200385185770268,Consistency
16065396,Credit Card,0.022025077848428,Consistency
16073536,Credit Card,0.0213240184214448,Consistency
16075356,Credit Card,0.0204564185682426,Consistency
16077914,Credit Card,0.0201224994254474,Consistency
16079899,Credit Card,0.0201740916993309,Consistency
16119862,Credit Card,0.0205945397055184,Consistency
16157961,Credit Card,0.0205150043549611,Consistency
16168452,Credit Card,0.0196734399165996,Consistency
16171223,Credit Card,0.0205723599290046,Consistency
16183746,Credit Card,0.0213211040715492,Consistency
16189450,Credit Card,0.0210411706371439,Consistency
16201308,Credit Card,0.0207767735542336,Consistency
16207394,Credit Card,0.0207488624918285,Consistency
16207854,Credit Card,0.0201071467782277,Consistency
16214248,Credit Card,0.0203110232327498,Consistency
16215821,Credit Card,0.0206387623352087,Consistency
16216226,Credit Card,0.0215230184443069,Consistency
16220367,Credit Card,0.0200387683850017,Consistency
16223932,Credit Card,0.0193838543428349,Consistency
16234610,Credit Card,0.021159257220608,Consistency
16248013,Credit Card,0.0207851862685074,Consistency
16257817,Credit Card,0.0207951930410467,Consistency
16262575,Credit Card,0.0200120852860062,Consistency
16267482,Credit Card,0.0207474499561217,Consistency
16274136,Credit Card,0.0197133811266931,Consistency
